time_stamp,vehicle_id,current_status,current_latitude,current_longitude,destination,platform_name,destination_latitude,destination_longitude,trip_name,stop_id,trip_id,sch_stop_id,sch_trip_id,actual_arrival_time,delay,scheduled_time
2023-10-03 08:31:24-04:00,1,INCOMING_AT,42.3379,-71.05696,Broadway,Alewife,42.342620849609375,-71.05696868896484,,70082,59095741,70082,59095741,2023-10-03 08:33:48-04:00,0.8,2023-10-03 08:33:00-04:00
2023-10-03 08:31:26-04:00,3,IN_TRANSIT_TO,42.31446,-71.05228,Savin Hill,Ashmont,42.31060409545898,-71.05368041992188,,70087,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:31:26-04:00,3,INCOMING_AT,42.31446,-71.05228,Savin Hill,Ashmont,42.31060409545898,-71.05368041992188,,70087,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:31:30-04:00,12,INCOMING_AT,42.38014,-71.11979,Porter,Alewife,42.38840103149414,-71.11914825439453,,70066,59095614,70066,59095614,2023-10-03 08:32:32-04:00,-2.466666666666667,2023-10-03 08:35:00-04:00
2023-10-03 08:31:36-04:00,7,STOPPED_AT,42.39676,-71.12241,Davis,Alewife,42.3967399597168,-71.12181854248047,,70064,59095739,70064,59095739,2023-10-03 08:31:36-04:00,2.6,2023-10-03 08:29:00-04:00
2023-10-03 08:31:37-04:00,2,IN_TRANSIT_TO,42.26791,-71.02174,North Quincy,Alewife,42.27580261230469,-71.03014373779297,,70098,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:31:38-04:00,6,STOPPED_AT,42.36243,-71.08581,Kendall/MIT,Ashmont/Braintree,42.36235427856445,-71.08560180664062,,70071,59095799,70071,59095799,2023-10-03 08:31:38-04:00,4.633333333333334,2023-10-03 08:27:00-04:00
2023-10-03 08:31:52-04:00,12,INCOMING_AT,42.38416,-71.11936,Porter,Alewife,42.38840103149414,-71.11914825439453,,70066,59095614,70066,59095614,2023-10-03 08:32:32-04:00,-2.466666666666667,2023-10-03 08:35:00-04:00
2023-10-03 08:31:59-04:00,14,STOPPED_AT,42.29997,-71.06181,Fields Corner,Alewife,42.29993438720703,-71.06194305419922,,70090,59095616,70090,59095616,2023-10-03 08:31:59-04:00,4.983333333333333,2023-10-03 08:27:00-04:00
2023-10-03 08:32:04-04:00,5,IN_TRANSIT_TO,42.26545,-71.01921,Quincy Center,Braintree,42.25180816650391,-71.00540924072266,,70101,59095797,70101,59095797,2023-10-03 08:34:23-04:00,-4.616666666666666,2023-10-03 08:39:00-04:00
2023-10-03 08:32:16-04:00,2,IN_TRANSIT_TO,42.27064,-71.02464,North Quincy,Alewife,42.27580261230469,-71.03014373779297,,70098,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
